,,,,precision,precision,recall,recall,fpr,fpr,event_recall,event_recall,missed_events,missed_events,mean_detection_delay,mean_detection_delay,false_alarms_per_1000,false_alarms_per_1000,mae,mae,rmse,rmse,nrmse_mean,nrmse_mean,transmitted_values,transmitted_values,transmitted_payload_bytes,transmitted_payload_bytes,realized_bandwidth,realized_bandwidth,max_window_excess_values,max_window_excess_values,f1,f1,specificity,specificity,n_events,n_events
,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
dataset,method,protocol,budget,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
psm,Uniform,method_retrained,0.7,0.9872946629927011,0.012690366743956844,0.01631598375784416,0.001178581521878235,8.509297195081564e-05,9.093311091236724e-05,0.14999999999999997,0.033159267739759204,61.2,2.3874672772626644,676.2099206349206,295.40181992384066,0.04781366332350494,0.04652227716374482,0.03916981667325474,7.88129972344014e-05,0.1757062490699297,0.013378961355178558,0.008648985727241461,7.257249966729438e-05,1537217.0,0.0,6148868.0,0.0,0.699999772315889,0.0,0.0,0.0,0.03209865806096892,0.0022749637024520003,0.9999149070280492,9.093311091237926e-05,72.0,0.0
psm,Variance,fixed_full_data,0.3,0.9820817256164801,0.012988570612049423,0.018038636643287743,0.004222450246748399,0.00013867002836430635,0.00011865648028372629,0.14999999999999997,0.031671539586087136,61.2,2.280350850198275,996.7982905982906,258.6413845976241,0.03870629888093256,0.023606791080848046,0.08731720951617614,0.00041816100284860683,0.255419140531935,0.02728091033291941,0.016980740890421682,0.000303221746104147,658807.0,0.0,2635228.0,0.0,0.2999997723158889,0.0,0.0,0.0,0.03539696767580512,0.008096522842868503,0.9998613299716357,0.00011865648028368356,72.0,0.0
psm,Variance,fixed_full_data,0.5,0.9741943855080631,0.018403447574752218,0.01780894959189526,0.0038625887183821755,0.00019224708477777707,0.0001517189398286746,0.16388888888888886,0.02060055135304348,60.2,1.4832396974191324,914.7829437229436,154.67962618785072,0.08879680331508062,0.05771242064929395,0.04477290246957866,0.00020760641856830072,0.19266412342571995,0.01114583615895123,0.01278305076265302,0.00020477697644150832,1098012.0,0.0,4392048.0,0.0,0.4999997723158889,0.0,0.0,0.0,0.03495352753897474,0.007412036811498322,0.9998077529152223,0.00015171893982870326,72.0,0.0
psm,Variance,fixed_full_data,0.7,0.9693978562310246,0.02352115044375175,0.017874574463721697,0.003737864321829371,0.00023006618342259175,0.00019059964846147103,0.1833333333333333,0.020600551353043485,58.8,1.4832396974191324,723.1099633699635,142.20953735180146,0.11611889664279776,0.07944511707456837,0.01471080531356568,0.00020385834721052323,0.16070710305460487,0.03370184249248226,0.00832689000909454,0.00020677654263769586,1537217.0,0.0,6148868.0,0.0,0.699999772315889,0.0,0.0,0.0,0.03507803907212044,0.0071696641002364295,0.9997699338165773,0.0001905996484614998,72.0,0.0
psm,Variance,method_retrained,0.3,0.9851390534511699,0.011564626359638976,0.01611090603338658,0.0010999509645616876,9.454774661201709e-05,7.638953446918339e-05,0.1222222222222222,0.022821773229381934,63.2,1.643167672515498,678.38,299.92625937470035,0.025045252217073977,0.018706158542315082,0.08731720951617614,0.00041816100284860683,0.255419140531935,0.02728091033291941,0.016980740890421682,0.000303221746104147,658807.0,0.0,2635228.0,0.0,0.2999997723158889,0.0,0.0,0.0,0.031701322631906136,0.00212739901961423,0.999905452253388,7.638953446929242e-05,72.0,0.0
psm,Variance,method_retrained,0.5,0.9872977945145417,0.013582865035091134,0.01628317132193094,0.0005228476594061489,8.1941380397081e-05,9.011016990538391e-05,0.15277777777777776,0.021960261528947044,61.0,1.5811388300841898,952.0485936285935,214.1551262529337,0.036429457770289476,0.024680369518423957,0.04477290246957866,0.00020760641856830072,0.19266412342571995,0.01114583615895123,0.01278305076265302,0.00020477697644150832,1098012.0,0.0,4392048.0,0.0,0.4999997723158889,0.0,0.0,0.0,0.03203737446102856,0.0010110844414528489,0.9999180586196029,9.011016990535787e-05,72.0,0.0
psm,Variance,method_retrained,0.7,0.9392047567136828,0.05366890042613548,0.01609449981543002,0.0011413086666995944,0.00041916167664667856,0.00037861752393881647,0.1833333333333333,0.01162027814630661,58.8,0.8366600265340751,692.5454212454213,110.20865552465787,0.09790416775765298,0.0636905350836141,0.01471080531356568,0.00020385834721052323,0.16070710305460487,0.03370184249248226,0.00832689000909454,0.00020677654263769586,1537217.0,0.0,6148868.0,0.0,0.699999772315889,0.0,0.0,0.0,0.0316429506636517,0.0022035248053554283,0.9995808383233532,0.00037861752393882845,72.0,0.0
smd,Full Data,fixed_full_data,1.0,0.33034462813019977,0.009514905451460299,0.537268002969562,0.010919072773043475,0.11384913709521038,0.0037524295186146706,0.875,0.125,1.0,1.0,4.966666666666667,0.7085783889827105,8.96801151725833,0.5516299557331497,0.0,0.0,0.0,0.0,0.0,0.0,1082202.0,0.0,4328808.0,0.0,1.0,0.0,0.0,0.0,0.4090946974742324,0.009651993490592299,0.8861508629047895,0.0037524295186146836,8.0,0.0
smd,Full Data,method_retrained,1.0,0.33034462813019977,0.009514905451460299,0.537268002969562,0.010919072773043475,0.11384913709521038,0.0037524295186146706,0.875,0.125,1.0,1.0,4.966666666666667,0.7085783889827105,8.96801151725833,0.5516299557331497,0.0,0.0,0.0,0.0,0.0,0.0,1082202.0,0.0,4328808.0,0.0,1.0,0.0,0.0,0.0,0.4090946974742324,0.009651993490592299,0.8861508629047895,0.0037524295186146836,8.0,0.0
smd,PCA-Triage,fixed_full_data,0.3,0.32000020954431274,0.015695466115499955,0.5141796585003713,0.01915058128940118,0.11429125460539069,0.005703692509662707,0.625,0.0,3.0,0.0,42.0,9.444575162494075,4.859721198075775,0.3185482195313526,0.2576758576155899,0.02726429460198466,14.901725737651617,7.847054914869922,0.016163255939972598,0.0002176015897511365,324660.0,0.0,1298640.0,0.0,0.2999994455748557,0.0,0.0,0.0,0.39441007821312246,0.016484751085605275,0.8857087453946093,0.005703692509662717,8.0,0.0
