dataset,method,protocol,budget,seed,weighted_f1,macro_f1,macro_precision,macro_recall,rmse,mae,nrmse_mean,realized_bandwidth,transmitted_values,transmitted_payload_bytes,budget_excess,max_window_budget_excess,elapsed_s,binary_precision,binary_recall,binary_f1,binary_fpr,binary_specificity,binary_event_recall,binary_mean_detection_delay,binary_median_detection_delay,binary_false_alarm_events,binary_false_alarms_per_1000,binary_n_events
tep,Uniform,method_retrained,0.5,789,0.7040834770031434,0.71303497025645,0.7284294644000004,0.7045623070623069,0.47687451413397486,0.1755126121969094,0.1050210482438586,0.5,1365000,5460000,0.0,0.0,3.537731667049229,0.9617718976508602,0.9158627858627859,0.938256091327313,0.39795454545454545,0.6020454545454546,1.0,1.5,0.0,508.0,9.676190476190476,100.0
tep,Uniform,fixed_full_data,0.5,789,0.688449063194489,0.6989073892526533,0.7116493168071434,0.7011813861813861,0.47687451413397486,0.1755126121969094,0.1050210482438586,0.5,1365000,5460000,0.0,0.0,3.7169597500469536,0.9418770460524994,0.974989604989605,0.9581473271291538,0.6577272727272727,0.3422727272727273,1.0,0.18,0.0,377.0,7.180952380952381,100.0
tep,Full Data,method_retrained,1.0,789,0.7280782761140551,0.7391499729150408,0.7488151199414934,0.7368264843264843,0.0,0.0,0.0,1.0,2730000,10920000,0.0,0.0,2.7381364579778165,0.9444938012357146,0.9724948024948025,0.958289799848401,0.6247727272727273,0.37522727272727274,1.0,0.0,0.0,382.0,7.276190476190476,100.0
tep,Full Data,fixed_full_data,1.0,789,0.7280782761140551,0.7391499729150408,0.7488151199414934,0.7368264843264843,0.0,0.0,0.0,1.0,2730000,10920000,0.0,0.0,2.9434328329516575,0.9444938012357146,0.9724948024948025,0.958289799848401,0.6247727272727273,0.37522727272727274,1.0,0.0,0.0,382.0,7.276190476190476,100.0
tep,PCA-Triage,method_retrained,0.5,1024,0.6931489870046171,0.7022218799824103,0.7165327139948026,0.6944463419463419,0.26232467278272825,0.10357041763705929,0.09961470455625816,0.5,1365000,5460000,0.0,0.0,4.177877709036693,0.9615266168059833,0.9087525987525987,0.9343950406156477,0.3975,0.6025,1.0,3.12,1.0,453.0,8.628571428571428,100.0
tep,PCA-Triage,fixed_full_data,0.5,1024,0.6777814470496559,0.6890632314266887,0.6962477657720288,0.6962796887796889,0.26232467278272825,0.10357041763705929,0.09961470455625816,0.5,1365000,5460000,0.0,0.0,4.344890334061347,0.9387848788471518,0.9778586278586279,0.9579234638805727,0.6970454545454545,0.3029545454545455,1.0,0.28,0.0,343.0,6.533333333333333,100.0
tep,Variance,method_retrained,0.5,1024,0.6920166188404598,0.7012077441017469,0.7152569442453685,0.6937003312003313,0.2559959425049804,0.09907360892532836,0.10029021810455009,0.5,1365000,5460000,0.0,0.0,3.4373894169693813,0.9607812980621347,0.9091268191268191,0.934240605037708,0.4056818181818182,0.5943181818181819,1.0,1.55,1.0,414.0,7.885714285714286,100.0
tep,Variance,fixed_full_data,0.5,1024,0.6803704813814124,0.6915639395930763,0.6987127333676892,0.7009234684234685,0.2559959425049804,0.09907360892532836,0.10029021810455009,0.5,1365000,5460000,0.0,0.0,3.6107403750065714,0.9387478849407783,0.9804158004158005,0.9591295062795546,0.6993181818181818,0.30068181818181816,1.0,0.28,0.0,345.0,6.571428571428571,100.0
tep,Threshold,method_retrained,0.5,1024,0.645130256267302,0.653209415880127,0.6668095797600998,0.6492493092493092,0.3530768520622747,0.1382083326293811,0.12269742597375494,0.5,1365000,5460000,0.0,0.0,3.119841416948475,0.9633400302489898,0.8872141372141372,0.923711295576792,0.3690909090909091,0.6309090909090909,1.0,4.35,2.0,318.0,6.057142857142857,100.0
tep,Threshold,fixed_full_data,0.5,1024,0.6401332587871144,0.650068884607816,0.6625532083445387,0.6628051003051004,0.3530768520622747,0.1382083326293811,0.12269742597375494,0.5,1365000,5460000,0.0,0.0,3.2743482920341194,0.9376499276382309,0.9832848232848233,0.9599253102769406,0.7147727272727272,0.2852272727272727,1.0,0.28,0.0,312.0,5.942857142857143,100.0
tep,Uniform,method_retrained,0.5,1024,0.7087290350844129,0.7178595706687895,0.7332523486365738,0.7100648675648676,0.4771108234333593,0.17544370806419973,0.10497092217153607,0.5,1365000,5460000,0.0,0.0,3.5637631659628823,0.961737422241624,0.9160498960498961,0.9383378587020178,0.39840909090909093,0.6015909090909091,1.0,1.68,1.0,499.0,9.504761904761905,100.0
tep,Uniform,fixed_full_data,0.5,1024,0.6834971259482533,0.695309877651845,0.7082030574356202,0.699499711999712,0.4771108234333593,0.17544370806419973,0.10497092217153607,0.5,1365000,5460000,0.0,0.0,3.7412247909232974,0.9385086087947687,0.9757172557172558,0.9567513021496937,0.6988636363636364,0.30113636363636365,1.0,0.28,0.0,360.0,6.857142857142857,100.0
tep,Full Data,method_retrained,1.0,1024,0.7297074285086547,0.7419879477618446,0.7524080629543989,0.7395054945054946,0.0,0.0,0.0,1.0,2730000,10920000,0.0,0.0,3.3660840418888256,0.9419548448168215,0.9723284823284823,0.9569006966680648,0.655,0.345,1.0,0.83,0.0,528.0,10.057142857142857,100.0
tep,Full Data,fixed_full_data,1.0,1024,0.7297074285086547,0.7419879477618446,0.7524080629543989,0.7395054945054946,0.0,0.0,0.0,1.0,2730000,10920000,0.0,0.0,3.569066708907485,0.9419548448168215,0.9723284823284823,0.9569006966680648,0.655,0.345,1.0,0.83,0.0,528.0,10.057142857142857,100.0
