dataset,method,protocol,budget,seed,fault_type,exact_fault_recall,binary_precision,binary_recall,binary_f1,binary_fpr,binary_specificity,binary_event_recall,binary_mean_detection_delay,binary_median_detection_delay,binary_false_alarm_events,binary_false_alarms_per_1000,binary_n_events
tep,Variance,method_retrained,0.5,42,14,0.9580041580041581,0.9983354140657511,0.9975051975051975,0.9979201331114809,0.042105263157894736,0.9578947368421052,1.0,1.0,1.0,4.0,1.6,5.0
tep,Variance,method_retrained,0.5,42,15,0.12182952182952184,0.9919408999328408,0.6141372141372141,0.758602978941962,0.12631578947368421,0.8736842105263158,1.0,1.2,2.0,4.0,1.6,5.0
tep,Variance,method_retrained,0.5,42,16,0.44490644490644493,0.9966650786088613,0.8698544698544699,0.9289520426287744,0.07368421052631578,0.9263157894736842,1.0,4.6,0.0,4.0,1.6,5.0
tep,Variance,method_retrained,0.5,42,17,0.8174636174636175,0.9938997821350762,0.9484407484407484,0.9706382978723405,0.14736842105263157,0.8526315789473684,1.0,5.6,2.0,4.0,1.6,5.0
tep,Variance,method_retrained,0.5,42,18,0.8182952182952183,0.9973273942093541,0.930977130977131,0.963010752688172,0.06315789473684211,0.9368421052631579,1.0,1.4,1.0,3.0,1.2,5.0
tep,Variance,method_retrained,0.5,42,19,0.5006237006237007,0.9965174129353234,0.8328482328482328,0.907361268403171,0.07368421052631578,0.9263157894736842,1.0,1.2,1.0,3.0,1.2,5.0
tep,Variance,method_retrained,0.5,42,20,0.6515592515592515,0.9953183520599251,0.883991683991684,0.9363576304778684,0.10526315789473684,0.8947368421052632,1.0,5.2,0.0,6.0,2.4,5.0
tep,Variance,fixed_full_data,0.5,42,1,0.9796257796257797,0.9856144677353063,0.9970893970893971,0.9913187267465895,0.3684210526315789,0.631578947368421,1.0,0.2,0.0,4.0,1.6,5.0
tep,Variance,fixed_full_data,0.5,42,2,0.9700623700623701,0.9835931091058244,0.9970893970893971,0.9902952715259137,0.42105263157894735,0.5789473684210527,1.0,0.6,0.0,8.0,3.2,5.0
tep,Variance,fixed_full_data,0.5,42,3,0.11101871101871102,0.9814814814814815,0.9035343035343035,0.9408962978999783,0.43157894736842106,0.5684210526315789,1.0,0.0,0.0,14.0,5.6,5.0
tep,Variance,fixed_full_data,0.5,42,4,0.972972972972973,0.9864532019704434,0.9991683991683992,0.992770088824623,0.3473684210526316,0.6526315789473685,1.0,0.4,0.0,18.0,7.2,5.0
tep,Variance,fixed_full_data,0.5,42,5,0.8395010395010395,0.9831483764899301,0.9945945945945946,0.9888383629599008,0.43157894736842106,0.5684210526315789,1.0,0.0,0.0,5.0,2.0,5.0
tep,Variance,fixed_full_data,0.5,42,6,0.9975051975051975,0.9824346405228758,1.0,0.9911395013393777,0.45263157894736844,0.5473684210526316,1.0,0.0,0.0,10.0,4.0,5.0
tep,Variance,fixed_full_data,0.5,42,7,0.995010395010395,0.984036021285305,0.9995841995841996,0.9917491749174917,0.4105263157894737,0.5894736842105263,1.0,0.2,0.0,12.0,4.8,5.0
tep,Variance,fixed_full_data,0.5,42,8,0.8103950103950104,0.9835051546391752,0.9916839916839917,0.9875776397515528,0.42105263157894735,0.5789473684210527,1.0,0.2,0.0,9.0,3.6,5.0
tep,Variance,fixed_full_data,0.5,42,9,0.15550935550935552,0.9823848238482384,0.9043659043659044,0.9417622862091362,0.4105263157894737,0.5894736842105263,1.0,0.2,0.0,9.0,3.6,5.0
tep,Variance,fixed_full_data,0.5,42,10,0.637006237006237,0.9870940882597835,0.9858627858627859,0.9864780528396089,0.3263157894736842,0.6736842105263158,1.0,0.0,0.0,10.0,4.0,5.0
tep,Variance,fixed_full_data,0.5,42,11,0.7189189189189189,0.9816437213183146,0.9783783783783784,0.9800083298625573,0.4631578947368421,0.5368421052631579,1.0,0.4,0.0,5.0,2.0,5.0
tep,Variance,fixed_full_data,0.5,42,12,0.7185031185031185,0.9852277390233894,0.9983367983367983,0.9917389508467576,0.37894736842105264,0.6210526315789474,1.0,0.2,0.0,7.0,2.8,5.0
tep,Variance,fixed_full_data,0.5,42,13,0.7114345114345114,0.9826230864708316,0.9875259875259875,0.9850684363334716,0.4421052631578947,0.5578947368421052,1.0,0.2,0.0,10.0,4.0,5.0
tep,Variance,fixed_full_data,0.5,42,14,0.9255717255717256,0.982420278004906,0.9991683991683992,0.9907235621521335,0.45263157894736844,0.5473684210526316,1.0,0.0,0.0,8.0,3.2,5.0
tep,Variance,fixed_full_data,0.5,42,15,0.20914760914760916,0.9782512205947625,0.9164241164241165,0.9463288965221125,0.5157894736842106,0.4842105263157895,1.0,0.4,0.0,13.0,5.2,5.0
tep,Variance,fixed_full_data,0.5,42,16,0.5609147609147609,0.9881956155143339,0.9746361746361747,0.9813690600795478,0.29473684210526313,0.7052631578947368,1.0,0.0,0.0,8.0,3.2,5.0
tep,Variance,fixed_full_data,0.5,42,17,0.8029106029106029,0.9804979253112033,0.9825363825363825,0.9815160955347871,0.49473684210526314,0.5052631578947369,1.0,0.0,0.0,8.0,3.2,5.0
tep,Variance,fixed_full_data,0.5,42,18,0.8316008316008316,0.9849686847599165,0.9808731808731809,0.9829166666666667,0.37894736842105264,0.6210526315789474,1.0,0.8,0.0,14.0,5.6,5.0
tep,Variance,fixed_full_data,0.5,42,19,0.6415800415800416,0.9837837837837838,0.9837837837837838,0.9837837837837838,0.4105263157894737,0.5894736842105263,1.0,0.0,0.0,12.0,4.8,5.0
