dataset,method,protocol,budget,seed,requested_budget,weighted_f1,macro_f1,macro_precision,macro_recall,rmse,mae,nrmse_mean,available_values,transmitted_values,transmitted_payload_bytes,payload_bytes_per_value,realized_bandwidth,budget_excess,max_window_budget_excess,max_window_excess_values,n_windows,elapsed_s,binary_precision,binary_recall,binary_f1,binary_fpr,binary_specificity,binary_event_recall,binary_mean_detection_delay,binary_median_detection_delay,binary_false_alarm_events,binary_false_alarms_per_1000,binary_n_events,binary_detected_events,binary_missed_events
tep,PCA-Triage,method_retrained,0.5,456,0.5,0.6742626055477272,0.6828276661717425,0.6965073071267114,0.6757160182160182,0.26733301989454933,0.10387990890163169,0.026625433406909052,2730000,1365000,5460000,4,0.5,0.0,0.0,0,1050,15.54949258400302,0.9618030212549488,0.9040748440748441,0.9320459100018218,0.3925,0.6075,1.0,2.59,1.0,376.0,7.161904761904762,100.0,100.0,0.0
tep,PCA-Triage,fixed_full_data,0.5,456,0.5,0.6692141640097884,0.6797918132784961,0.6885224122064643,0.6886677511677513,0.26733301989454933,0.10387990890163169,0.026625433406909052,2730000,1365000,5460000,4,0.5,0.0,0.0,0,1050,15.80648441700032,0.9391422139883264,0.9801247401247402,0.9591959226441774,0.6943181818181818,0.30568181818181817,1.0,0.39,0.0,393.0,7.485714285714286,100.0,100.0,0.0
tep,Variance,method_retrained,0.5,456,0.5,0.680909639353783,0.6901633345416961,0.7042216708741347,0.6824053424053423,0.25936981392978903,0.09845996376578713,0.025381171736876304,2730000,1365000,5460000,4,0.5,0.0,0.0,0,1050,10.538826500000141,0.9605187447439473,0.9023284823284823,0.9305147610573934,0.40545454545454546,0.5945454545454546,1.0,3.59,1.0,340.0,6.476190476190476,100.0,100.0,0.0
tep,Variance,fixed_full_data,0.5,456,0.5,0.6728948654391311,0.6832608728482005,0.6922283913357912,0.6924447624447625,0.25936981392978903,0.09845996376578713,0.025381171736876304,2730000,1365000,5460000,4,0.5,0.0,0.0,0,1050,10.918302040998242,0.9396992930399283,0.981018711018711,0.9599145603417586,0.6881818181818182,0.3118181818181818,1.0,0.39,0.0,406.0,7.733333333333333,100.0,100.0,0.0
tep,Threshold,method_retrained,0.5,456,0.5,0.6442593525439703,0.6525552248465706,0.6692382209060975,0.6495295920295922,0.3857018653017793,0.13935647797704534,0.03836492749637946,2730000,1365000,5460000,4,0.5,0.0,0.0,0,1050,9.694943041999068,0.9642661680197027,0.8791060291060291,0.9197189838176439,0.35613636363636364,0.6438636363636364,1.0,4.99,2.0,331.0,6.304761904761905,100.0,100.0,0.0
tep,Threshold,fixed_full_data,0.5,456,0.5,0.6432531390701953,0.6522856061385477,0.6653775661639656,0.6629295704295706,0.3857018653017793,0.13935647797704534,0.03836492749637946,2730000,1365000,5460000,4,0.5,0.0,0.0,0,1050,10.026801957996213,0.939427006864807,0.9843866943866943,0.9613814947919839,0.6938636363636363,0.30613636363636365,1.0,0.39,0.0,378.0,7.2,100.0,100.0,0.0
tep,Uniform,method_retrained,0.5,456,0.5,0.7106658417661964,0.7202039173529798,0.7370337020232822,0.7113046413046413,0.4829810326472044,0.17524427309575472,0.036367371143272834,2730000,1365000,5460000,4,0.5,0.0,0.0,0,1050,10.83689795799728,0.9612236859381155,0.9132224532224532,0.9366084564702872,0.4027272727272727,0.5972727272727273,1.0,2.55,1.0,515.0,9.80952380952381,100.0,100.0,0.0
tep,Uniform,fixed_full_data,0.5,456,0.5,0.6849994174007497,0.6960092525941937,0.7086139065722132,0.6984129384129384,0.4829810326472044,0.17524427309575472,0.036367371143272834,2730000,1365000,5460000,4,0.5,0.0,0.0,0,1050,11.085093332992983,0.9403487672880336,0.9753430353430353,0.9575262781916523,0.6763636363636364,0.3236363636363636,1.0,0.39,0.0,444.0,8.457142857142857,100.0,100.0,0.0
tep,Full Data,method_retrained,1.0,456,0.5,0.7270846058933469,0.7377209018286051,0.7472952369767947,0.735043875043875,0.0,0.0,0.0,2730000,2730000,10920000,4,1.0,0.0,0.0,0,1050,8.216627415997209,0.9454868974441928,0.9721413721413722,0.9586288900733937,0.6127272727272727,0.38727272727272727,1.0,0.22,0.0,393.0,7.485714285714286,100.0,100.0,0.0
tep,Full Data,fixed_full_data,1.0,456,0.5,0.7270846058933469,0.7377209018286051,0.7472952369767947,0.735043875043875,0.0,0.0,0.0,2730000,2730000,10920000,4,1.0,0.0,0.0,0,1050,8.482706583003164,0.9454868974441928,0.9721413721413722,0.9586288900733937,0.6127272727272727,0.38727272727272727,1.0,0.22,0.0,393.0,7.485714285714286,100.0,100.0,0.0
